No,fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,energy_100g,reconstructed_energy,g_sum,cluster,product_name,certainty,anomaly
150,28.57,64.29,14.29,3.57,0.0,2243.0,2267.85,96.43,5,Banana Chips Sweetened,1.0,0
151,14.55,60.0,21.82,9.09,0.1143,1674.0,1741.98,83.64,5,Granola Honey Almonds,0.95,0
152,2.5,87.5,65.0,2.5,1.9685,1569.0,1627.5,92.5,5,Chili Mango,0.99,1
153,22.5,70.0,42.5,5.0,1.016,1883.0,2152.5,97.5,5,Milk Chocolate Pretzels,1.0,0
154,17.86,60.71,17.86,17.86,0.635,1941.0,2032.23,96.43,5,Peanuts,0.89,1
157,46.43,32.14,10.71,21.43,1.45034,2540.0,2721.46,100.0,0,Organic Salted Pistachios,0.98,0
160,0.1,70.4,65.7,2.2,0.0127,1218.0,1238.1000000000004,72.7,5,Organic Medjool Dates,0.35,1
173,47.06,32.35,5.88,14.71,0.0381,2402.0,2635.36,94.12,0,Organic Whole Cashews,0.98,0
175,0.0,8.97,6.41,1.28,0.19558,159.0,174.25,10.25,1,Fresh Organic Carrots,1.0,0
176,12.0,23.0,0.0,22.0,2.16,1210.0,1233.0,57.0,2,Salade Cesar,0.65,1
177,14.4,54.1,28.1,4.79,0.922,1520.0,1562.7300000000002,73.29,7,Danoises à la cannelle roulées,1.0,0
182,10.7,38.7,24.7,3.33,0.647,1090.0,1131.81,52.73,7,Chaussons tressés aux pommes,1.0,0
183,1.11,53.3,1.11,10.0,1.52,1160.0,1119.39,64.41,2,Pain Burger Artisan,0.55,0
185,0.0,14.2,13.6,0.0,0.0616,215.0,241.4,14.2,1,Root Beer,1.0,0
187,6.79,7.86,0.7140000000000001,5.36,0.499,478.0,489.55,20.01,7,Quiche Lorraine,0.91,0
189,0.0,93.3,93.3,0.0,0.0,1667.0,1586.1,93.3,12,"Gotta-have grape, seriously strawberry flavor",1.0,0
190,0.1,0.1,0.1,0.1,0.001,17.0,7.300000000000002,0.30000000000000004,6,Thé noir aromatisé violette et fleurs,0.99,0
193,7.0,70.0,42.0,7.0,0.975,1632.0,1582.0,84.0,5,Preparation mug cake chocolat-caramel au beurre salé,0.99,0
200,16.88,44.16,5.19,7.79,1.08966,1523.0,1541.47,68.83,7,Butter Croissants,0.74,0
201,15.74,47.22,25.93,6.48,0.7289800000000001,1548.0,1526.76,69.44,7,Wild Blueberry Muffins,1.0,0
202,4.26,51.06,2.13,9.57,1.27,1159.0,1196.85,64.89,7,Bolillos,0.8,0
203,20.0,33.33,2.67,8.0,1.4224,1452.0,1482.61,61.33,7,Biscuit,0.69,0
204,16.0,38.67,9.33,5.33,1.15062,1339.0,1371.9999999999998,60.0,7,Biscuit,1.0,0
205,17.7,61.95,37.17,3.54,0.56134,1778.0,1803.63,83.19000000000003,7,Oatmeal Raisin Cookie,0.9,0
206,1.18,71.76,4.71,12.94,1.19634,1527.0,1485.92,85.88000000000002,10,Sliced Plain Bagel,0.99,0
207,25.88,52.94,30.59,3.53,0.4191,1920.0,1969.31,82.35,7,Scone,0.7,0
208,22.35,67.06,28.24,8.24,1.7043400000000002,2067.0,2151.75,97.65,5,Belgian Vanilla Waffle,0.75,0
209,21.43,60.71,35.71,3.57,0.68072,1866.0,1928.53,85.71,7,Seasonal Cookie Platter,0.75,0
210,21.76,51.76,32.94,5.88,0.6731,1749.0,1828.52,79.39999999999998,7,Muffin,0.99,0
211,15.88,45.88,25.88,6.47,0.762,1477.0,1509.2700000000002,68.23,7,Muffin,1.0,0
212,0.0,42.86,0.0,7.14,1.36144,941.0,850.0,50.0,12,Freshly Baked Italian Loaf,1.0,0
213,13.82,39.02,23.58,1.63,0.47498,1155.0,1230.0300000000002,54.47000000000001,7,Freshly Baked Apple Pie,1.0,0
214,21.43,60.71,32.14,3.57,0.99822,1866.0,1928.53,85.71,7,Snickerdoodle Cookies,0.76,0
215,22.35,45.88,18.82,4.71,0.7772399999999999,1674.0,1731.68,72.94,7,Freshly Baked In Store Cherry Turnover,1.0,0
216,22.35,42.35,15.29,4.71,0.80772,1623.0,1671.67,69.41,7,Apple Turnover,1.0,0
217,18.52,52.78,32.41,6.48,0.8001,1665.0,1729.7,77.78,7,Pineapple Coconut Muffins,1.0,0
218,21.43,48.21,21.43,1.79,0.40894,1569.0,1685.7700000000002,71.43,7,Assorted Strudel Bite,0.94,1
219,23.33,45.0,11.67,8.33,1.05918,1812.0,1816.48,76.66,7,Freshly Baked Chocolat Croissant,0.97,0
220,18.64,50.85,22.03,6.78,0.81788,1632.0,1706.67,76.27000000000002,7,Cornbread,1.0,0
221,3.51,52.63,0.0,8.77,1.78308,1176.0,1180.6899999999996,64.91,7,La Brea Bakery Ciabatta Loaf Freshly Baked In Store,0.83,0
223,33.3,53.8,51.5,4.7,0.09,2257.0,2293.2,91.8,5,Belgische Pralinen,1.0,0
224,22.35,68.24,29.41,8.24,1.7043400000000002,2117.0,2171.81,98.83,5,Belgian Choc Chip Waffle,0.57,0
225,39.29,80.36,46.43,5.36,0.635,2912.0,2989.55,125.01,9,Chocolate Scone,0.87,1
227,7.0,54.2,44.0,3.9,0.2,1284.0,1260.7,65.10000000000001,7,Luxury Christmas Pudding,0.99,0
228,7.0,54.2,44.0,3.9,0.199898,1284.0,1260.7,65.10000000000001,7,Luxury Christmas Pudding,0.99,0
231,0.0,10.4,10.4,0.0,0.0254,177.0,176.8,10.4,1,"Pepsi, Nouveau goût !",1.0,0
233,0.0,0.0,0.0,0.0,2.38252,0.0,0.0,0.0,12,Naturally Flavored Beverage Enhancer With Other Natural Flavors,1.0,0
238,0.1,10.7,10.7,0.0,0.0,180.0,185.8,10.8,6,Blle Pet 50CL Coca Cola Cherry,1.0,0
240,6.6,17.0,3.7,8.2,0.73,678.0,685.8,31.8,7,Crêpes jambon fromage,0.99,0
244,0.9,2.9,2.5,3.6,0.0,144.0,145.60000000000005,7.4,6,Cauliflower,0.99,0
248,1.0,24.0,1.0,39.0,9.8,1046.0,1110.0,64.0,9,Marmite Original Pate A Tartiner 125G,1.0,1
249,0.0,10.4,10.4,0.0,0.1,177.0,176.8,10.4,1,7Up,1.0,0
251,23.0,55.0,26.0,6.0,0.66,1900.0,1934.0,84.0,7,Madeleines nature,0.5,0
265,71.43,0.0,0.0,0.0,1.81356,2690.0,2785.7700000000004,71.43,8,Original Buttery Spread,1.0,1
266,57.14,0.0,0.0,0.0,1.36144,2389.0,2228.46,57.14,9,"Buttery Spread, With Flaxseed Oil",0.72,1
267,2.63,47.37,8.77,5.26,1.42494,954.0,997.28,55.26,7,Lithuanian Rye Bread,1.0,0
274,2.94,44.12,2.94,11.76,0.6731,983.0,1064.62,58.81999999999999,2,Organic Flourless Sprouted 7-Grain Bread,0.9,0
275,0.3,45.7,0.6,21.9,6.096,1159.0,1160.9,67.9,9,Puppodums,0.76,1
279,28.57,3.57,0.0,25.0,1.54178,1494.0,1599.92,57.14,4,Monterey Jack,1.0,0
281,1.47,50.0,5.88,8.82,1.27,983.0,1057.27,60.29,7,"Bakers Best, White Bread",0.86,0
282,2.56,53.85,2.56,7.69,0.81534,1071.0,1146.02,64.10000000000001,2,"Bakers Best, Rye Bread",0.78,0
286,26.25,58.75,6.5,8.75,0.03048,2029.0,2171.25,93.75,5,"Piasten, Chocolate Assortment",0.91,0
288,19.0,56.0,28.0,5.8,0.65,1768.0,1791.6,80.8,7,Cakes Raisins,0.96,0
290,0.0,32.14,25.0,0.0,1.63322,598.0,546.38,32.14,12,Sweet 'N' Hot Salad Peppers,1.0,0
291,0.0,43.75,34.38,0.0,3.01752,1046.0,743.75,43.75,12,"Big Papa's, Southern Sauce",1.0,0
292,15.0,60.0,34.0,4.9,0.6,1670.0,1688.3,79.9,7,Cakes aux Fruits,0.98,0
296,28.0,60.0,49.6,8.0,0.4064,2209.0,2248.0,96.0,5,Knusperflakes Mit Knusprigen Cornflakes,1.0,0
297,28.0,56.0,43.6,8.0,0.13208,2142.0,2180.0,92.0,5,"Rum Trauben Nuss, Milk Chocolate Wih Rum Raisins & Nuts",1.0,0
298,31.2,57.2,56.0,7.2,0.14224,2226.0,2311.6,95.6,5,Milk Chocolate With Caramelized Almonds,1.0,0
299,21.4,55.2,51.6,9.6,0.254,1929.0,1936.2,86.19999999999997,5,"Funsch, High Quality Marzipan",0.99,0
300,21.43,67.86,28.57,7.14,0.54356,1552.0,2110.77,96.43,9,Oatmeal Raisin Cookies,1.0,1
301,21.43,67.86,28.57,7.14,0.54356,1703.0,2110.77,96.43,5,The Best Peanut Butter Cookies,0.67,1
302,17.65,50.0,17.65,2.94,0.3733800000000001,1623.0,1588.33,70.59,7,Best Sweet-Potato Cookies,0.9,1
303,17.65,50.0,17.65,2.94,0.3733800000000001,1623.0,1588.33,70.59,7,Best Ginger Snap Cookies,0.9,1
304,11.27,22.54,16.9,2.82,0.14224,883.0,870.6500000000002,36.63,7,"Ice Cream, Vanilla",1.0,0
305,15.49,22.54,15.49,4.23,0.34036,1000.0,1059.2,42.26000000000001,7,"Ice Cream, Butter Pecan",1.0,0
307,4.6,8.8,6.0,78.05,1.21158,1644.0,1655.85,91.45,9,Whey Protein aus Molke Vanilla,1.0,1
308,23.0,51.0,39.0,8.0,0.55,1868.0,1900.0,82.0,7,Financiers aux Amandes,0.6,0
309,4.6,8.8,6.0,78.05,1.21158,1644.0,1655.85,91.45,9,Whey Protein aus Molke 1000 Gramm Vanilla,1.0,1
310,24.0,50.0,37.0,8.1,0.78,1896.0,1923.7,82.1,7,Fondants Citron,0.69,0
312,4.6,8.8,6.0,78.05,1.21158,1644.0,1655.85,91.45,9,Whey Protein aus Molke 500 Gramm Vanilla,1.0,1
314,23.0,57.0,57.0,4.5,0.3048,1954.0,1942.5,84.5,5,"Williams, Liquor Chocolate With Williams Pear",0.98,0
315,32.14,57.14,0.0,7.14,0.9525,2243.0,2346.2200000000007,96.42,5,Sea Salt Potato Chips,0.78,0
317,32.14,58.93,55.36,7.14,0.2032,2318.0,2376.65,98.21,5,Solid Milk Chocolate,1.0,0
318,32.5,57.5,55.0,7.5,0.1905,2301.0,2372.5,97.5,5,"Madelaine Chocolate Company, Chocolate",1.0,0
319,33.33,57.14,57.14,9.52,0.18034,2389.0,2433.09,99.99,5,Milk Chocolate Rose,1.0,0
320,32.5,57.5,50.0,5.0,0.03048,2197.0,2330.0,95.0,5,Solid Dark Chocolate,1.0,0
321,40.0,50.0,50.0,7.5,0.254,2406.0,2537.5,97.5,5,White Chocolate,1.0,0
322,32.56,58.14,55.81,6.98,0.20574,2238.0,2376.88,97.68,5,"The Madelaine Chocolate Company, Solid Milk Chocolate Cigars",1.0,0
323,32.56,58.14,55.81,6.98,0.20574,2238.0,2376.88,97.68,5,"Madelaine Chocolate, It's A Girl! Solid Milk Chocolate Cigars, Milk Chocolate",1.0,0
324,39.47,44.74,28.95,10.53,0.0,2314.0,2478.92,94.74,5,"The Madelaine Chocolate Company, All Natural Dark Chocolate Gift Stick",1.0,0
325,32.5,57.5,55.0,7.5,0.1905,2301.0,2372.5,97.5,5,"The Madelaine Chocolate Company, Solid Milk Chocolate",1.0,0
326,32.5,57.5,47.5,5.0,0.03048,2197.0,2330.0,95.0,5,"The Madelaine Chocolate Company, Solid Dark Chocolate",1.0,0
327,33.33,58.33,55.56,8.33,0.21082,2326.0,2433.09,99.99,5,Solid Milk Chocolate,1.0,0
328,33.33,58.33,55.56,8.33,0.21082,2326.0,2433.09,99.99,5,"The Madelaine Chocolate Company, Solid Milk Chocolate",1.0,0
329,31.58,57.89,55.26,7.89,0.20066,2314.0,2349.88,97.36,5,"The Madelaine Chocolate Comapny, Solid Milk Chocolate",1.0,0
330,31.58,57.89,50.0,5.26,0.03302,2201.0,2305.17,94.73,5,"The Madelaine Chocolate Company, Solid Dark Chocolate",1.0,0
331,31.58,57.89,50.0,5.26,0.03302,2201.0,2305.17,94.73,5,Solid Dark Chocolate,1.0,0
332,27.5,67.5,60.0,5.0,0.3175,2197.0,2305.0,100.0,5,Milk Chocolate Malt Balls,0.99,0
333,33.33,58.33,55.56,8.33,0.21082,2326.0,2433.09,99.99,5,"The Madelaine Chocolate Company, Solid Milk Chocolate",1.0,0
334,33.33,58.33,50.0,5.56,0.03556,2209.0,2386.0,97.22,5,"The Madelaine Chocolate Company, Solid Dark Chocolate",1.0,0
335,31.43,57.14,54.29,5.71,0.18034,2272.0,2294.2200000000007,94.28,5,"The Madelaine Chocolate Company, Solid Milk Chocolate Bunnies",1.0,0
336,31.58,57.89,55.26,7.89,0.20066,2314.0,2349.88,97.36,5,"The Madelaine Chocolate Company, Solid Milk Chocolate Chicks",1.0,0
338,0.0,22.22,0.0,0.0,0.0,205.0,377.74,22.22,12,"Too Tarts, Smartchoice, Sugar Free Spray Candy, Blu Bewwy",1.0,0
339,0.0,44.44,0.0,0.0,0.0,745.0,755.48,44.44,12,Sour & Fruity Candy,1.0,0
340,0.0,3.53,1.18,1.18,0.01524,75.0,80.07,4.71,1,Romaine Hearts,1.0,0
341,0.0,3.53,1.18,1.18,0.01524,75.0,80.07,4.71,1,Romaine,1.0,0
342,0.0,2.35,1.18,1.18,0.10414,75.0,60.01000000000001,3.53,1,Green Leaf Lettuce,1.0,0
343,0.0,3.53,0.0,2.35,0.19304,100.0,99.96,5.88,1,Fresh Spinach,0.97,0
344,0.0,3.53,0.0,2.35,0.19304,100.0,99.96,5.88,1,Cooking Spinach,0.97,0
345,0.0,9.52,2.38,3.57,0.06096,176.0,222.53,13.09,12,Quick Cook Sprout Halves,1.0,0
346,0.0,3.64,1.82,0.0,0.2667,59.0,61.88,3.64,1,Celery,1.0,0
347,0.0,7.06,1.18,4.71,0.20828,222.0,200.09,11.77,12,Season & Steam Kalettes (Kale Sprouts),1.0,0
349,30.56,61.11,55.56,5.56,0.24638,2209.0,2325.23,97.23,5,"Feletti, Pralines Candy, Milk Chocolate",1.0,0
350,32.43,59.46,56.76,2.7,0.20574,2264.0,2321.49,94.59,5,"Feletti, Milk Chocolate Pralines",0.99,0
351,27.5,60.0,37.5,5.0,0.41148,2125.0,2177.5,92.5,5,"Taami Elite, Milk Choolate Bar, Puffed Rice And Nougat-Caramel Cream",0.98,0
352,0.0,11.67,10.42,0.0,0.0381,192.0,198.39,11.67,1,"Ryan's, Juice Melange, Fuji Pom Blend",1.0,0
353,0.0,13.33,13.33,0.0,0.01016,226.0,226.61,13.33,1,"Ryan's, Lemonade",1.0,0
354,0.0,11.25,10.0,0.0,0.0254,192.0,191.25,11.25,1,"Ryan's, Spiced Apple Cider",1.0,0
355,0.0,11.67,8.33,0.42,0.01524,192.0,205.53,12.09,1,"Ryan's, Pink Lady, Apple Cider",1.0,0
356,0.0,11.67,10.42,0.0,0.04318,192.0,198.39,11.67,1,"Ryan's, Organic Juice, Apple",1.0,0
357,0.0,11.67,8.33,0.42,0.01524,192.0,205.53,12.09,1,"Ryan's, Opal Blend Melange, Apple Cider",1.0,0
359,0.0,78.57,64.29,0.0,0.09144,1343.0,1335.6899999999996,78.57,12,"Fruit Strip Snacks, Mango, Pineapple",1.0,0
360,0.0,78.57,64.29,0.0,0.09144,1343.0,1335.6899999999996,78.57,12,Fruit Twist Snacks Blueberry Pomec-Ranate,1.0,0
361,0.0,65.0,42.5,5.0,0.0635,1046.0,1190.0,70.0,12,"Healthy Food Brands, A&W, Soda Bottles Gummy Candies With Real A&W Root Beer",1.0,0
362,0.0,67.5,40.0,5.0,0.03048,1151.0,1232.5,72.5,12,"Emojeez, Gummies, Assorted Fruits",1.0,0
363,0.0,67.5,40.0,5.0,0.03048,1151.0,1232.5,72.5,12,"Emojeez, Gummies Candy, Fruit",1.0,0
364,0.0,67.5,40.0,5.0,0.03048,1151.0,1232.5,72.5,12,"Emojeez, Fruit Flavored Gummies, Green Apple, Orange, Fruit Punch, Lemon, Cherry Blue Raspberry",1.0,0
365,0.0,67.5,40.0,5.0,0.03048,1151.0,1232.5,72.5,12,Gummies,1.0,0
366,0.0,67.5,40.0,5.0,0.03048,1151.0,1232.5,72.5,12,"Emojeez, Fruit Gummies, Assorted",1.0,0
367,0.0,67.5,40.0,5.0,0.03048,1151.0,1232.5,72.5,12,"Emojeez, Gummies Candy, Fruit",1.0,0
368,32.0,60.0,0.0,4.0,0.0,1674.0,2336.0,96.0,2,"Lite, Fine Chocolate Candy Bar, Dark Chocolate",0.91,1
369,0.0,75.0,57.5,5.0,0.127,1360.0,1360.0,80.0,12,Sour Fruit Gummies,1.0,0
370,0.0,34.0,24.0,0.0,0.0762,586.0,578.0,34.0,12,Jelly Fish,1.0,0
372,17.5,77.5,75.0,2.5,0.0,1883.0,2042.5,97.5,5,"Hfb Candy, Candy Crush Color Bombs",1.0,0
373,0.0,85.0,60.0,0.0,0.1905,1464.0,1445.0,85.0,12,"Hfb Candy, Jelly Fish Candy",1.0,0
374,0.0,71.43,42.86,7.14,0.0,1197.0,1335.69,78.57000000000002,12,"Angry Birds, Fruit Snack, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry",1.0,0
375,0.0,92.86,75.0,3.57,0.0,1494.0,1639.31,96.43,12,Freeze-Dried Apple Slices,1.0,0
376,0.0,85.71,64.29,3.57,0.0,1343.0,1517.76,89.27999999999999,12,Freeze-Dried Banana & Strawberry Slices,1.0,0
377,1.79,89.29,78.57,3.57,0.0,1494.0,1648.43,94.65,5,Freeze-Dried Mango Slices,1.0,0
378,0.0,94.12,82.35,0.0,0.14986,1477.0,1600.04,94.12,12,Freeze-Dried Grapes,1.0,0
379,0.0,90.0,70.0,0.0,0.0,1464.0,1530.0,90.0,12,Freeze-Dried Apple Slices,1.0,0
380,0.0,90.0,60.0,0.0,0.0,1464.0,1530.0,90.0,12,"Freeze-Dried Fruit Slices, Banana & Strawberry",1.0,0
381,0.0,90.0,80.0,0.0,0.0,1464.0,1530.0,90.0,12,Freeze-Dried Mango Slices,1.0,0
382,0.0,91.67,83.33,0.0,0.10668,1569.0,1558.39,91.67,12,Freeze-Dried Grapes,1.0,0
383,0.0,82.5,75.0,0.0,0.0,1360.0,1402.5,82.5,12,"Wholesome & Delicious Dried Cranberries, Concord Grape",1.0,0
384,0.0,82.5,75.0,0.0,0.0,1360.0,1402.5,82.5,12,"Dried Cranberries, Pomegranate Flavor",1.0,0
385,0.0,82.5,75.0,0.0,0.0,1360.0,1402.5,82.5,12,"Dried Cranberries, Blueberry",1.0,0
386,0.0,82.5,75.0,0.0,0.0,1360.0,1402.5,82.5,12,Dried Cranberries,1.0,0
387,0.0,55.0,32.5,2.5,0.0,941.0,977.5,57.5,12,Dried Mediterranean Apricots,1.0,0
388,0.0,72.5,75.0,0.0,0.0,1255.0,1232.5,72.5,12,Dried Honey Crisp Apples,1.0,0
389,0.0,85.0,65.0,0.0,0.4445,1464.0,1445.0,85.0,12,Wholesome & Delicious Dried Mangos,1.0,0
390,0.0,82.61,73.91,0.0,0.0,1456.0,1404.37,82.61,12,"Triple Fruit Treat, Mango, Cranberries, Blueberries",1.0,0
391,0.0,90.48,76.19,0.0,0.36322,1594.0,1538.16,90.48,12,Red Apple Chips,1.0,0
392,25.88,51.76,44.71,9.41,0.47752,1971.0,2049.21,87.05,5,"Pb&J Trail Mix, Grape",0.99,0
393,25.88,51.76,40.0,9.41,0.47752,1971.0,2049.21,87.05,5,"Pb & J Trail Mix, Strawberry",0.98,0
394,25.88,51.76,44.71,9.41,0.47752,1971.0,2049.21,87.05,5,"Pb&J Trail Mix, Grape",0.99,0
395,0.0,92.86,78.57,0.0,1.63322,1644.0,1578.62,92.86,12,Red Apple Chips,1.0,0
396,0.0,92.86,78.57,0.0,1.63322,1644.0,1578.62,92.86,12,Golden Apple Chips,1.0,0
397,0.0,92.86,78.57,0.0,1.63322,1644.0,1578.62,92.86,12,Green Apple Chips,1.0,0
398,0.0,70.0,37.5,7.5,0.09652,1255.0,1317.5,77.5,12,Fruit Gummies,1.0,0
399,0.0,70.0,37.5,7.5,0.09652,1255.0,1317.5,77.5,12,Fruit Gummies Candy,1.0,0
400,0.0,70.0,37.5,7.5,0.09652,1255.0,1317.5,77.5,12,"Star Wars, Fruit Gummies",1.0,0
401,0.0,70.0,37.5,7.5,0.09652,1255.0,1317.5,77.5,12,Gummies,1.0,0
402,0.0,70.0,37.5,7.5,0.09652,1255.0,1317.5,77.5,12,Fruit Gummies,1.0,0
403,0.0,70.0,37.5,7.5,0.09652,1255.0,1317.5,77.5,12,Fruit Gummies,1.0,0
404,0.0,80.0,45.0,5.0,0.4445,1360.0,1445.0,85.0,12,"Fruit Snacks, Cherry, Lemon, Raspberry, Apple, Grape, Strawberry",1.0,0
406,0.0,100.0,60.0,5.0,0.254,1255.0,1785.0,105.0,13,"Fruit Ninja, Fruit Snacks, Original",0.88,1
407,0.0,70.0,42.5,2.5,0.03048,1151.0,1232.5,72.5,12,Fruit Snacks Red Belt,1.0,0
408,0.0,100.0,100.0,0.0,0.0,1393.0,1700.0,100.0,12,Tnt Exploding Candy,1.0,0
409,0.0,100.0,100.0,0.0,0.0,1393.0,1700.0,100.0,12,Exploding Candy,1.0,0
410,0.0,100.0,100.0,0.0,0.0,1393.0,1700.0,100.0,12,Exploding Candy,1.0,0
411,0.0,80.95,76.19,0.0,0.0,1197.0,1376.15,80.95,12,"Bee, Creamed Honey With Raspberry, Raspberry",1.0,0
412,0.0,80.95,76.19,0.0,0.0,1197.0,1376.15,80.95,12,Creamed Honey,1.0,0
